,artist,followers,genre,popularity,main_genre
172,Jackson Browne,977129,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",65,album rock
173,Guns N' Roses,22862685,"['glam metal', 'hard rock', 'rock']",81,glam metal
174,The Fray,3503377,"['neo mellow', 'piano rock', 'pop', 'pop rock']",73,neo mellow
176,Daði Freyr,179850,"['icelandic pop', 'sunnlensk tonlist']",60,icelandic pop
178,DJ Shadow,495891,"['big beat', 'downtempo', 'electronica', 'hip hop', 'trip hop', 'turntablism']",65,big beat
179,Lil Peep,8336317,"['emo rap', 'lgbtq+ hip hop']",87,emo rap
182,Bon Jovi,10188852,"['glam metal', 'rock']",80,glam metal
183,Tears For Fears,2205369,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",73,new romantic
185,Two Feet,1496112,"['indie poptimism', 'modern rock', 'pop']",76,indie poptimism
186,David Bowie,7555234,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",81,art rock
187,Dave Matthews Band,1637190,"['jam band', 'neo mellow', 'pop rock']",67,jam band
188,Here We Go Magic,39243,"['baroque pop', 'brooklyn indie', 'freak folk']",37,baroque pop
191,Zac Brown Band,2892292,"['contemporary country', 'country', 'country road', 'modern country rock']",74,contemporary country
193,Omega,26535,"['classic hungarian pop', 'classic hungarian rock']",48,classic hungarian pop
194,DMA'S,206586,"['australian indie', 'modern rock']",59,australian indie
196,Neil Young,2408799,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",72,album rock
197,Pink Floyd,15990599,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",82,album rock
201,Liam Clancy,18660,"['celtic', 'irish country', 'irish folk']",41,celtic
202,Sheck Wes,1206565,"['rap', 'trap', 'underground hip hop', 'vapor trap']",67,rap
203,Christy Moore,182680,"['celtic', 'irish folk']",55,celtic
205,The Wolfe Tones,130549,"['celtic', 'irish folk']",53,celtic
210,Aslan,26800,['irish rock'],40,irish rock
216,The Dubliners,319755,"['celtic', 'irish folk']",58,celtic
217,Snow Patrol,2434603,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock', 'rock']",71,irish rock
220,Shaggy,1639194,"['pop rap', 'reggae fusion']",75,pop rap
221,Travis Scott,19260632,"['rap', 'slap house']",93,rap
224,Billie Eilish,54067437,"['art pop', 'electropop', 'pop']",93,art pop
225,Powpig,2734,['irish indie rock'],17,irish indie rock
226,Junior Brother,6362,['irish singer-songwriter'],24,irish singer-songwriter
230,Boards of Canada,482372,"['ambient', 'electronica', 'intelligent dance music', 'microhouse', 'scottish electronic', 'trip hop']",59,ambient
231,Stevie Nicks,872339,"['album rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",69,album rock
232,Saint Sister,24581,['irish indie'],44,irish indie
244,Jamie xx,679052,"['electronica', 'future garage', 'new rave']",63,electronica
247,ZHU,739111,"['edm', 'electro house']",71,edm
249,Simple Minds,1429592,"['art rock', 'classic rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'scottish new wave', 'soft rock', 'synthpop']",69,art rock
250,Foals,1233572,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'oxford indie', 'rock']",68,alternative dance
260,The xx,3786322,"['downtempo', 'dream pop', 'indietronica']",70,downtempo
271,Eminem,50421517,"['detroit hip hop', 'hip hop', 'rap']",93,detroit hip hop
275,DJ Blyatman,187881,"['hard bass', 'russian rave']",63,hard bass
276,The Devlins,4779,['irish rock'],30,irish rock
277,Joey Bada$$,2400070,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",76,conscious hip hop
279,Beck,1297924,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']",69,alternative rock
280,Semisonic,346690,['pop rock'],61,pop rock
